Key,Source,Context,English
aecIMTutorialBook,items,Item,International Market Tutorial
aecIMTutorialBookDesc,items,Item,"Starts a quest to learn the basics of using the [DECEA3]International Market[-]."
quest_aec_im_tutorial,quests,Quest,[DECEA3]International Market[-] Tutorial
quest_aec_im_tutorial_offer,quests,Quest,"Learn the basics of the International Market. Harvest [DECEA3]Zombie Ears[-], exchange them for a [DECEA3]Crypto Miner[-], and begin generating passive income."
quest_aec_im_tutorial_desc,quests,Quest,"Welcome to the International Market.\n\nThe old world may be gone, but commerce survived...and adapted.\n\nThrough the International Market, you can request thousands of different items by air drop, including food, medicine, building supplies, tools, and even vehicles.\n\nThis tutorial will teach you how to craft an [DECEA3]International Market Terminal[-] and use it to request your first [DECEA3]Crypto Miner[-]. You'll pay for it with [DECEA3]Zombie Ears[-], the first of many commodities accepted by the Market.\n\nOnce your Crypto Miner is running, you'll be ready to collect [DECEA3]Connection Cards[-] from participating nations. These unlock additional cryptocurrencies to mine, allowing you to purchase increasingly valuable items through the Market."
internationalMarket,blocks,Block,International Market Terminal
AEC_Groenland_ResearchPapers,items,item,,Greenland research papers
PassiveCryptoMinerGroenland01,blocks,Block,MINING\n\nPassively generates [DECEA3]Greenland Coins[-] over time.\n\nUp to [DECEA3]40 coins every 30 minutes[-].
PassiveCryptoMinerGroenland00,blocks,Block,MINING\n\nCurrently mining [DECEA3]Greenland Coins[-] over time.\n\nUp to [DECEA3]40 coins every 30 minutes[-].
PassiveCryptoMinerGroenland02,blocks,Block,READY\n\nCollect your [DECEA3]Greenland Coins[-].
AEC_Groenland_Coin,items,item,Greenland Coin
groenlandConnexionCard,items,item,Greenland Server Connexion Card
questItem_blackMarket,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]Black Market[-]
questNameKey_AirdropRequest,Quest,Quest Info,[DECEA3]zIM[-] Airdrop Request from [DECEA3]International Market[-]
questItem_CryptoMiner,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]Crypto Miner[-]
questItem_RTX5090GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 5090 Graphic Card[-]
questItem_RTX4090GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 4090 Graphic Card[-]
questItem_RX7900XTXGraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RX 7900 XTX Graphic Card[-]
questItem_RTX3090GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 3090 Graphic Card[-]
questItem_RX6900XTGraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RX 6900 XT Graphic Card[-]
questItem_RTX4080GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 4080 Graphic Card[-]
questItem_RX7900XTGraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RX 7900 XT Graphic Card[-]
questItem_RTX3080GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 3080 Graphic Card[-]
questItem_RX6800XTGraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RX 6800 XT Graphic Card[-]
questItem_RTX2080GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 2080 Graphic Card[-]
questItem_RX6800GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RX 6800 Graphic Card[-]
questItem_RTX2070GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 2070 Graphic Card[-]
questItem_RX6700XTGraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RX 6700 XT Graphic Card[-]
questItem_RTX3060GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 3060 Graphic Card[-]
questItem_RTX2060GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 2060 Graphic Card[-]
questItem_RTX3050GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RTX 3050 Graphic Card[-]
questItem_GTX1660GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]GTX 1660 Graphic Card[-]
questItem_RX5500XTGraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]RX 5500 XT Graphic Card[-]
questItem_GTX1050GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]GTX 1050 Graphic Card[-]
questItem_GTX970GraphicCard,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]GTX 970 Graphic Card[-]
questItem_resourceBatteryNiv1,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]Battery 100Ah[-]
questItem_resourceBatteryNiv2,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]Battery 500Ah[-]
questItem_resourceBatteryNiv3,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]Battery 2500Ah[-]
questItem_resourceBatteryNiv4,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]Battery 7500Ah[-]
questItem_resourceBatteryNiv5,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]Battery 15000Ah[-]
questItem_PassiveCryptoMinerItaly01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Italy [-]
questItem_PassiveCryptoMinerCanada01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Canada [-]
questItem_PassiveCryptoMinerRussia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Russia [-]
questItem_PassiveCryptoMinerIndia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer India [-]
questItem_PassiveCryptoMinerFrance01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer France [-]
questItem_PassiveCryptoMinerUK01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer UK [-]
questItem_PassiveCryptoMinerGermany01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Germany [-]
questItem_PassiveCryptoMinerJapan01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Japan [-]
questItem_PassiveCryptoMinerChina01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer China [-]
questItem_PassiveCryptoMinerUSA01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer USA [-]
questItem_PassiveCryptoMinerIreland01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Ireland [-]
questItem_PassiveCryptoMinerRomania01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Romania [-]
questItem_PassiveCryptoMinerCzechia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Czechia [-]
questItem_PassiveCryptoMinerHungary01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Hungary [-]
questItem_PassiveCryptoMinerDenmark01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Denmark [-]
questItem_PassiveCryptoMinerFinland01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Finland [-]
questItem_PassiveCryptoMinerNorway01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Norway [-]
questItem_PassiveCryptoMinerSweden01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Sweden [-]
questItem_PassiveCryptoMinerGreece01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Greece [-]
questItem_PassiveCryptoMinerAustria01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Austria [-]
questItem_PassiveCryptoMinerPoland01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Poland [-]
questItem_PassiveCryptoMinerPortugal01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Portugal [-]
questItem_PassiveCryptoMinerNetherlands01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Netherlands [-]
questItem_PassiveCryptoMinerBelgium01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Belgium [-]
questItem_PassiveCryptoMinerSwitzerland01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Switzerland [-]
questItem_PassiveCryptoMinerSamoa01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Samoa [-]
questItem_PassiveCryptoMinerPapuaNewGuinea01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Papua New Guinea [-]
questItem_PassiveCryptoMinerFiji01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Fiji [-]
questItem_PassiveCryptoMinerNewZealand01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer New Zealand [-]
questItem_PassiveCryptoMinerAustralia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Australia [-]
questItem_PassiveCryptoMinerEcuador01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Ecuador [-]
questItem_PassiveCryptoMinerVenezuela01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Venezuela [-]
questItem_PassiveCryptoMinerColombia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Colombia [-]
questItem_PassiveCryptoMinerPeru01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Peru [-]
questItem_PassiveCryptoMinerChile01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Chile [-]
questItem_PassiveCryptoMinerArgentina01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Argentina [-]
questItem_PassiveCryptoMinerBrazil01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Brazil [-]
questItem_PassiveCryptoMinerSAF01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer SAF [-]
questItem_PassiveCryptoMinerEthiopia01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Ethiopia [-]
questItem_PassiveCryptoMinerMorocco01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Morocco [-]
questItem_PassiveCryptoMinerKenya01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Kenya [-]
questItem_PassiveCryptoMinerEgypt01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Egypt [-]
questItem_PassiveCryptoMinerNigeria01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Nigeria [-]
questItem_PassiveCryptoMinerAntarctica01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Antarctica [-]
questItem_PassiveCryptoMinerTurkey01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer Turkey [-]
questItem_PassiveCryptoMinerSAR01,items,Request,[DECEA3]zIM[-] Airdrop Request for [DECEA3]1 Passive Cryptominer SAR [-]
